MSSV,Mã Môn,Giữa Kỳ,Cuối Kỳ,Hủy Môn (true/false)
SV001,TOAN123,1.6,7.4,false
SV001,HOAHOC123,4.6,6.3,false
SV002,TOAN123,1.0,8.8,false
SV002,HOAHOC123,6.4,9.1,false
SV003,TOAN123,6.5,9.6,false
SV003,HOAHOC123,5.8,6.6,false
SV004,TOAN123,1.5,5.8,false
SV004,HOAHOC123,9.2,8.9,false
SV005,TOAN123,6.7,5.9,false
SV005,HOAHOC123,9.2,4.3,false
SV006,TOAN123,8.2,5.4,false
SV006,HOAHOC123,9.7,9.2,false
SV007,TOAN123,5.9,4.0,false
SV007,HOAHOC123,6.4,9.0,false
SV008,TOAN123,6.3,8.9,false
SV008,HOAHOC123,4.2,4.8,false
SV009,TOAN123,6.2,6.9,false
SV009,HOAHOC123,5.4,8.4,false
SV010,TOAN123,5.3,6.5,false
SV010,HOAHOC123,4.3,6.8,false
